"SB"	"OPS"	"tSho"	"WS"
98	0.81	12	1
136	0.75	10	0
106	0.691	10	0
125	0.64	10	0
64	0.774	6	0
93	0.806	11	0
71	0.754	12	0
100	0.681	14	0
98	0.658	12	0
159	0.743	8	0
146	0.741	4	0
77	0.727	10	0
154	0.727	8	0
70	0.725	16	0
84	0.7	7	0
99	0.748	3	0
45	0.728	15	0
105	0.754	10	0
52	0.733	4	0
63	0.729	13	0
137	0.655	5	0
83	0.761	9	0
79	0.741	12	0
69	0.698	5	0
52	0.791	6	0
155	0.724	13	0
97	0.73	4	0
91	0.738	3	0
94	0.709	16	0
100	0.659	7	0
193	0.701	9	0
131	0.741	7	0
99	0.722	13	0
121	0.741	7	0
63	0.722	8	0
102	0.707	11	0
109	0.704	11	0
90	0.785	7	0
170	0.781	12	0
116	0.763	9	0
115	0.707	6	0
120	0.693	10	0
70	0.625	10	0
106	0.716	9	0
90	0.742	11	0
79	0.744	6	0
120	0.805	16	0
68	0.681	12	0
89	0.716	10	0
85	0.652	7	0
207	0.677	13	0
96	0.729	15	0
92	0.647	11	0
128	0.74	14	0
100	0.781	9	0
53	0.716	4	0
96	0.796	9	1
152	0.695	9	0
66	0.662	28	1
28	0.71	11	0
134	0.711	15	0
116	0.708	4	0
116	0.738	8	0
66	0.745	15	1
77	0.749	8	0
92	0.662	11	0
122	0.692	3	0
96	0.748	15	0
123	0.661	9	0
101	0.683	11	0
100	0.809	11	0
143	0.8	19	1
149	0.735	10	0
92	0.727	5	0
85	0.774	8	0
78	0.722	22	0
155	0.727	11	0
118	0.752	3	0
93	0.774	9	0
128	0.722	16	1
52	0.702	12	0
207	0.719	10	0
60	0.703	9	0
104	0.665	11	0
86	0.762	7	0
100	0.793	12	0
153	0.69	14	1
81	0.696	8	0
137	0.735	8	0
112	0.753	3	0
51	0.681	11	0
174	0.805	14	0
72	0.716	8	0
185	0.758	10	1
144	0.661	9	0
168	0.74	4	0
99	0.713	7	0
81	0.779	5	0
89	0.729	3	0
117	0.708	19	0
72	0.747	9	0
66	0.81	13	0
63	0.684	22	0
160	0.752	11	0
89	0.839	8	0
73	0.687	9	0
156	0.72	10	0
89	0.748	5	0
35	0.78	12	1
91	0.678	10	0
119	0.667	6	0
68	0.806	8	0
103	0.669	4	0
136	0.77	11	1
164	0.694	12	1
61	0.752	11	0
112	0.694	12	0
84	0.753	12	0
123	0.785	9	0
106	0.671	8	0
210	0.781	12	1
105	0.694	13	0
99	0.804	6	1
83	0.696	15	0
198	0.657	15	0
68	0.686	9	0
91	0.678	2	0
69	0.726	8	0
88	0.723	11	0
106	0.8	10	0
96	0.736	14	0
95	0.726	13	0
81	0.703	10	0
65	0.746	2	0
97	0.772	7	0
126	0.806	11	0
145	0.731	6	0
73	0.69	3	0
87	0.706	16	1
106	0.678	11	0
63	0.79	4	0
117	0.71	7	0
115	0.69	3	0
118	0.712	8	0
75	0.705	9	0
92	0.7	16	0
140	0.726	8	1
59	0.723	7	0
88	0.797	10	0
142	0.652	13	0
79	0.754	6	0
65	0.748	4	0
91	0.78	11	0
107	0.714	10	0
87	0.703	8	0
137	0.722	9	0
129	0.747	14	1
122	0.714	13	0
134	0.699	16	0
58	0.746	9	0
159	0.703	11	0
118	0.724	14	1
69	0.699	11	0
47	0.71	4	0
72	0.771	9	0
82	0.696	5	0
86	0.706	9	0
106	0.784	7	0
69	0.716	15	0
52	0.669	8	0
38	0.711	7	0
155	0.67	9	0
209	0.71	8	0
154	0.748	17	0
130	0.74	5	0
80	0.713	5	0
118	0.697	13	0
134	0.733	7	0
101	0.689	7	0
132	0.692	7	0
71	0.757	6	0
133	0.699	6	0
62	0.724	16	0
166	0.729	8	0
128	0.714	11	1
42	0.646	13	0
43	0.764	12	0
77	0.729	6	0
98	0.673	9	0
161	0.734	7	0
115	0.812	7	0
113	0.719	10	0
125	0.74	11	0
150	0.667	16	0
49	0.721	15	0
29	0.696	9	0
106	0.736	11	0
90	0.728	8	0
126	0.697	17	0
108	0.721	10	0
101	0.767	7	0
65	0.771	7	0
137	0.743	6	0
93	0.79	9	0
36	0.707	6	0
69	0.786	9	0
68	0.815	4	0
187	0.705	11	0
151	0.719	10	0
131	0.717	15	0
53	0.654	17	0
69	0.664	7	0
82	0.743	12	0
104	0.819	10	1
63	0.784	2	0
67	0.808	5	0
99	0.648	5	0
57	0.689	23	0
190	0.659	19	0
103	0.744	2	0
78	0.699	18	0
99	0.812	9	0
57	0.81	18	0
88	0.75	13	0
129	0.648	10	0
89	0.726	9	0
41	0.715	7	0
92	0.769	10	0
55	0.729	17	1
74	0.67	12	0
149	0.689	15	0
109	0.749	8	0
140	0.732	13	0
140	0.721	22	0
65	0.811	6	0
140	0.684	6	0
63	0.744	4	0
86	0.631	10	0
105	0.72	7	0
164	0.695	14	0
104	0.706	15	0
73	0.754	5	0
136	0.707	10	0
64	0.798	6	0
99	0.76	12	0
108	0.733	7	0
118	0.703	10	0
75	0.756	5	0
128	0.699	13	0
221	0.666	14	0
155	0.792	11	0
148	0.792	13	0
57	0.697	11	0
45	0.713	6	0
116	0.702	13	0
50	0.763	8	0
115	0.748	8	0
88	0.724	9	0
102	0.7	16	0
104	0.734	7	0
122	0.738	4	0
138	0.706	6	0
94	0.795	8	0
60	0.728	3	0
90	0.85	4	0
131	0.66	7	0
102	0.735	8	0
194	0.693	18	0
117	0.697	8	0
84	0.789	6	1
66	0.776	8	0
66	0.745	8	0
141	0.767	7	0
76	0.741	15	0
93	0.674	6	0
58	0.732	11	0
35	0.73	11	0
50	0.699	7	0
72	0.729	7	0
153	0.694	12	0
97	0.701	10	0
81	0.689	7	0
92	0.701	6	0
69	0.674	10	0
68	0.733	7	0
153	0.825	16	1
85	0.772	4	0
78	0.79	8	0
105	0.707	7	0
137	0.698	10	0
74	0.745	13	0
83	0.743	18	1
94	0.75	13	0
105	0.75	9	0
58	0.728	10	0
84	0.725	5	0
70	0.688	10	0
121	0.751	9	0
58	0.698	14	0
75	0.722	16	0
54	0.705	8	0
96	0.672	13	0
108	0.769	17	0
71	0.714	8	0
144	0.721	12	0
114	0.672	10	0
51	0.733	7	0
120	0.714	9	0
98	0.719	13	0
107	0.726	6	0
148	0.722	16	0
104	0.761	9	0
38	0.718	17	0
88	0.684	7	0
84	0.756	6	0
151	0.754	4	0
104	0.711	12	0
100	0.704	14	0
85	0.703	6	0
87	0.714	8	0
71	0.747	8	0
35	0.764	14	0
125	0.782	6	0
189	0.682	12	0
66	0.744	4	0
88	0.647	10	0
139	0.724	8	0
64	0.716	10	0
341	0.684	15	0
73	0.759	10	0
83	0.704	10	0
148	0.715	17	0
93	0.825	3	0
131	0.777	14	0
73	0.731	11	0
110	0.766	6	0
135	0.714	11	0
112	0.661	6	0
57	0.73	12	0
119	0.826	7	0
213	0.705	13	0
67	0.798	6	0
170	0.786	11	1
125	0.739	16	0
118	0.686	6	0
123	0.795	8	0
30	0.744	7	0
171	0.747	12	0
105	0.765	4	0
64	0.688	10	0
131	0.692	11	0
89	0.655	6	0
146	0.734	14	0
128	0.68	9	0
180	0.746	7	1
115	0.74	4	0
170	0.653	10	0
156	0.702	17	0
136	0.71	21	0
159	0.71	13	0
156	0.755	10	0
116	0.752	7	0
95	0.706	11	0
84	0.721	10	0
156	0.713	12	0
128	0.736	14	0
85	0.729	6	0
82	0.701	9	0
82	0.713	19	0
19	0.76	9	0
47	0.7	16	0
43	0.692	4	0
78	0.71	6	0
175	0.707	9	0
41	0.639	12	0
17	0.661	11	0
116	0.717	4	0
100	0.725	9	0
101	0.721	7	0
65	0.679	7	0
161	0.734	11	1
128	0.781	10	0
78	0.615	17	0
150	0.797	7	0
99	0.734	10	0
76	0.759	8	0
106	0.719	6	0
147	0.788	8	0
86	0.763	9	0
104	0.689	10	0
65	0.709	10	0
124	0.686	8	0
131	0.769	2	0
109	0.742	12	0
108	0.707	8	0
113	0.75	6	0
155	0.769	9	0
97	0.734	5	0
136	0.712	10	0
102	0.765	10	0
143	0.702	10	1
87	0.797	8	0
70	0.704	12	0
137	0.74	16	1
126	0.762	5	0
120	0.763	10	0
59	0.754	18	1
47	0.739	3	0
47	0.694	8	0
146	0.728	5	0
95	0.665	13	0
164	0.792	11	0
112	0.717	8	0
40	0.777	7	0
42	0.788	3	0
140	0.761	6	0
66	0.695	9	0
95	0.646	4	0
234	0.646	14	0
65	0.733	10	0
53	0.784	8	0
114	0.837	2	0
60	0.777	16	1
86	0.758	10	0
102	0.708	9	0
125	0.726	7	0
87	0.743	4	0
151	0.708	11	0
77	0.763	13	0
128	0.696	10	0
58	0.694	16	0
65	0.744	4	0
101	0.673	11	0
111	0.737	7	0
108	0.703	12	0
121	0.752	13	0
132	0.725	5	0
49	0.76	8	0
76	0.746	11	0
28	0.667	5	0
63	0.666	10	0
94	0.688	10	0
148	0.697	10	0
102	0.81	13	0
164	0.704	13	0
124	0.737	11	0
130	0.689	11	0
201	0.827	4	0
85	0.736	13	0
165	0.742	12	0
84	0.663	8	0
58	0.758	7	0
146	0.77	8	0
77	0.771	16	1
79	0.688	6	0
86	0.678	4	0
125	0.689	9	0
248	0.718	7	1
55	0.726	9	0
125	0.656	13	0
77	0.726	12	0
116	0.772	6	0
80	0.731	13	0
114	0.722	6	0
235	0.708	12	0
86	0.754	10	0
81	0.727	7	0
57	0.723	7	0
96	0.709	7	0
81	0.762	12	0
88	0.739	9	0
134	0.727	8	0
51	0.719	13	0
99	0.714	9	0
144	0.746	9	0
65	0.677	13	0
135	0.742	4	0
66	0.731	13	0
59	0.7	7	0
23	0.72	11	0
160	0.669	6	0
158	0.664	9	0
101	0.776	10	0
153	0.738	11	0
174	0.763	10	0
53	0.763	10	0
108	0.69	7	0
94	0.738	8	0
56	0.756	8	0
166	0.724	12	1
27	0.653	15	1
61	0.761	15	1
106	0.75	11	0
56	0.754	9	0
79	0.717	8	0
158	0.696	12	0
101	0.794	4	0
91	0.744	6	0
100	0.727	1	0
60	0.673	6	0
117	0.728	9	0
93	0.788	16	1
65	0.742	6	0
90	0.747	4	0
88	0.707	7	0
102	0.751	16	0
68	0.762	13	0
116	0.664	7	0
123	0.757	8	1
124	0.723	14	0
149	0.743	19	1
89	0.669	13	0
202	0.679	5	0
116	0.732	10	0
108	0.757	10	0
140	0.701	9	0
85	0.708	6	0
157	0.712	20	1
216	0.728	14	0
123	0.681	15	0
77	0.777	4	0
63	0.77	10	0
136	0.688	11	0
73	0.726	12	0
69	0.722	12	0
200	0.697	10	1
85	0.645	12	0
49	0.695	14	0
103	0.774	11	0
56	0.699	12	1
103	0.759	8	0
74	0.675	13	0
146	0.78	12	0
109	0.734	12	0
71	0.695	15	0
68	0.634	10	0
127	0.729	11	0
98	0.695	3	0
116	0.737	14	0
110	0.712	3	0
81	0.728	13	0
102	0.704	3	0
60	0.8	11	0
100	0.656	14	0
93	0.742	5	0
97	0.657	11	0
94	0.772	8	0
32	0.681	14	0
66	0.767	5	0
91	0.634	10	0
45	0.708	9	0
133	0.765	12	0
133	0.73	2	0
90	0.705	7	0
137	0.712	12	0
78	0.626	7	0
151	0.741	4	0
106	0.677	10	0
194	0.782	5	0
66	0.743	6	0
119	0.652	13	0
83	0.81	5	0
138	0.762	12	0
126	0.581	8	0
97	0.661	13	0
105	0.745	4	0
64	0.741	6	0
123	0.829	5	0
162	0.691	13	0
131	0.674	10	0
100	0.707	12	0
54	0.677	10	0
72	0.619	11	0
44	0.72	5	0
155	0.684	18	0
100	0.651	10	0
176	0.752	8	0
58	0.676	6	0
105	0.689	6	0
76	0.747	3	0
67	0.798	12	0
75	0.688	4	0
126	0.703	24	1
67	0.72	3	0
141	0.751	8	0
138	0.727	5	0
177	0.712	8	0
72	0.679	11	0
108	0.7	18	0
98	0.823	9	1
110	0.693	1	0
94	0.7	5	0
35	0.767	10	0
134	0.759	11	1
93	0.746	9	0
143	0.724	7	0
108	0.782	5	0
96	0.806	13	1
115	0.707	9	0
89	0.696	20	0
95	0.768	11	0
116	0.796	13	1
57	0.643	7	0
103	0.756	16	0
87	0.717	10	0
142	0.708	15	0
129	0.743	9	0
52	0.756	8	0
58	0.769	8	0
75	0.787	7	0
76	0.721	10	0
79	0.733	16	0
70	0.801	5	0
59	0.769	9	1
66	0.769	18	0
95	0.757	10	0
131	0.735	4	0
46	0.773	9	0
49	0.776	12	0
128	0.751	12	0
69	0.74	6	0
119	0.677	13	0
78	0.733	9	0
123	0.7	4	0
104	0.734	8	1
106	0.758	7	0
80	0.7	12	0
92	0.666	8	0
53	0.783	8	1
50	0.778	5	0
57	0.682	3	0
63	0.667	5	0
166	0.697	12	0
66	0.75	2	0
91	0.71	6	0
73	0.731	3	0
82	0.804	10	0
75	0.774	11	1
82	0.633	23	0
72	0.738	8	0
144	0.757	9	0
81	0.706	14	0
67	0.78	10	0
92	0.707	7	0
135	0.724	5	0
68	0.824	7	0
138	0.734	12	0
86	0.7	13	0
163	0.716	15	1
103	0.739	14	0
134	0.764	16	0
98	0.795	23	0
124	0.723	11	0
110	0.734	5	0
71	0.782	5	0
88	0.71	13	0
129	0.743	10	0
109	0.74	11	0
196	0.682	14	0
114	0.738	10	0
132	0.837	8	0
52	0.745	9	0
81	0.714	3	0
102	0.774	6	0
102	0.755	6	0
94	0.757	12	0
69	0.672	10	0
159	0.686	10	0
95	0.695	15	0
262	0.636	4	0
62	0.651	10	0
53	0.676	6	0
96	0.676	9	0
74	0.653	13	0
260	0.745	15	0
100	0.791	7	1
148	0.759	12	0
84	0.765	9	0
63	0.693	6	0
115	0.673	8	0
48	0.743	14	0
69	0.75	5	0
77	0.704	6	0
39	0.748	9	0
47	0.776	8	0
55	0.659	4	0
79	0.696	8	0
102	0.709	7	0
314	0.714	20	1
126	0.736	7	0
73	0.739	14	0
70	0.718	6	0
87	0.726	12	0
139	0.712	8	0
143	0.795	4	0
47	0.632	8	0
92	0.719	5	0
130	0.703	5	0
96	0.708	13	0
77	0.667	15	0
105	0.784	4	0
73	0.783	7	0
100	0.717	6	0
36	0.759	8	0
64	0.705	8	0
86	0.7	7	0
108	0.754	15	0
